Date,Category,Amount,Month,Year,Payment Mode,Description,User ID
2024-04-29,Bills,5876.88,4,2024,Cash,Water bill,4
2024-04-29,Entertainment,2874.46,4,2024,Net Banking,Sports event,3
2024-04-30,Shopping,13022.62,4,2024,Credit Card,Online order,4
2024-05-01,Food,286.87,5,2024,Debit Card,Coffee shop,5
2024-05-01,Medical,3242.97,5,2024,Cash,Health checkup,4
2024-05-02,Food,386.17,5,2024,UPI,Grocery shopping,2
2024-05-03,Entertainment,1741.2,5,2024,UPI,Movie ticket,3
2024-05-07,Other,788.14,5,2024,UPI,Pet supplies,4
2024-05-07,Travel,2296.46,5,2024,UPI,Fuel,5
2024-05-07,Medical,1590.21,5,2024,UPI,Doctor visit,1
2024-05-09,Travel,2923.66,5,2024,UPI,Auto rickshaw,5
2024-05-09,Education,1500.37,5,2024,Debit Card,Course fee,3
2024-05-10,Food,1679.08,5,2024,Debit Card,Fast food,5
2024-05-10,Food,54.4,5,2024,Wallet,Snacks,3
2024-05-11,Food,2125.82,5,2024,UPI,Coffee shop,4
2024-05-11,Food,2008.21,5,2024,Wallet,Fast food,5
2024-05-12,Bills,1146.62,5,2024,UPI,Mobile recharge,5
2024-05-14,Bills,1656.9,5,2024,Net Banking,Internet bill,3
2024-05-15,Shopping,3588.41,5,2024,Debit Card,Clothing,4
2024-05-16,Bills,3108.27,5,2024,Wallet,Internet bill,5
2024-05-17,Travel,2304.6,5,2024,UPI,Cab ride,4
2024-05-18,Entertainment,627.01,5,2024,UPI,Concert,4
2024-05-18,Entertainment,1620.43,5,2024,Cash,Sports event,4
2024-05-19,Travel,1821.54,5,2024,UPI,Parking fee,5
2024-05-19,Travel,1423.52,5,2024,Debit Card,Cab ride,5
2024-05-20,Medical,2050.37,5,2024,UPI,Lab test,1
2024-05-20,Entertainment,771.16,5,2024,Cash,Streaming subscription,4
2024-05-20,Shopping,13499.6,5,2024,Debit Card,Online order,5
2024-05-21,Medical,2848.35,5,2024,Credit Card,Medicines,1
2024-05-22,Food,1425.35,5,2024,Debit Card,Coffee shop,3
2024-05-23,Medical,1517.39,5,2024,UPI,Health checkup,1
2024-05-23,Education,6622.93,5,2024,UPI,Stationery,3
2024-05-23,Shopping,2851.35,5,2024,Debit Card,Online order,5
2024-05-24,Food,62.32,5,2024,UPI,Home delivery,1
2024-05-25,Medical,1022.34,5,2024,Credit Card,Medicines,3
2024-05-25,Entertainment,2554.79,5,2024,Wallet,Concert,2
2024-05-26,Medical,2063.84,5,2024,Debit Card,Doctor visit,2
2024-05-26,Food,1430.06,5,2024,Debit Card,Home delivery,2
2024-05-26,Entertainment,2479.31,5,2024,Debit Card,Streaming subscription,4
2024-05-27,Education,7184.57,5,2024,Wallet,Online course,5
2024-05-29,Food,752.85,5,2024,Debit Card,Fast food,3
2024-05-29,Food,1405.61,5,2024,Credit Card,Home delivery,2
2024-05-30,Entertainment,365.97,5,2024,Net Banking,Streaming subscription,5
2024-05-31,Shopping,819.07,5,2024,Net Banking,Accessories,3
2024-06-02,Travel,1760.74,6,2024,Wallet,Bus ticket,5
2024-06-02,Medical,3663.45,6,2024,UPI,Health checkup,2
2024-06-03,Travel,102.95,6,2024,UPI,Cab ride,5
2024-06-06,Food,1806.33,6,2024,Cash,Grocery shopping,1
2024-06-08,Travel,1826.34,6,2024,UPI,Parking fee,1
2024-06-08,Food,1563.7,6,2024,Cash,Snacks,1
2024-06-09,Food,861.18,6,2024,UPI,Restaurant dinner,4
2024-06-10,Food,1294.18,6,2024,Cash,Restaurant dinner,5
2024-06-10,Food,2365.83,6,2024,UPI,Home delivery,5
2024-06-11,Shopping,13785.46,6,2024,UPI,Footwear,5
2024-06-12,Travel,1296.32,6,2024,UPI,Train ticket,2
2024-06-13,Food,1305.97,6,2024,UPI,Home delivery,5
2024-06-13,Shopping,9610.97,6,2024,Net Banking,Clothing,1
2024-06-14,Education,5606.47,6,2024,Credit Card,Online course,3
2024-06-14,Entertainment,2423.65,6,2024,Net Banking,Streaming subscription,4
2024-06-14,Bills,3581.74,6,2024,Cash,Internet bill,5
2024-06-15,Shopping,3300.7,6,2024,Debit Card,Accessories,3
2024-06-15,Medical,2876.81,6,2024,Debit Card,Medicines,3
2024-06-17,Travel,2479.33,6,2024,Wallet,Train ticket,3
2024-06-18,Travel,2621.13,6,2024,Wallet,Train ticket,4
2024-06-18,Education,628.19,6,2024,Debit Card,Stationery,5
2024-06-18,Food,1254.54,6,2024,UPI,Restaurant dinner,4
2024-06-19,Shopping,2276.39,6,2024,Net Banking,Accessories,2
2024-06-20,Bills,7723.1,6,2024,Debit Card,Rent,3
2024-06-21,Travel,2121.04,6,2024,Credit Card,Fuel,3
2024-06-22,Bills,3198.05,6,2024,Cash,Rent,2
2024-06-24,Medical,1299.57,6,2024,UPI,Medicines,1
2024-06-24,Entertainment,1892.56,6,2024,Cash,Concert,3
2024-06-24,Bills,5904.75,6,2024,UPI,Gas bill,2
2024-06-24,Food,2121.06,6,2024,Debit Card,Snacks,1
2024-06-25,Education,9553.64,6,2024,Cash,Books,5
2024-06-26,Shopping,8090.28,6,2024,UPI,Online order,3
2024-06-26,Other,375.97,6,2024,Net Banking,Donation,4
2024-06-26,Bills,563.48,6,2024,Debit Card,Mobile recharge,2
2024-06-27,Shopping,5802.07,6,2024,Debit Card,Online order,3
2024-06-28,Food,1976.96,6,2024,Credit Card,Coffee shop,4
2024-06-28,Shopping,12596.55,6,2024,Wallet,Clothing,1
2024-06-28,Bills,5290.44,6,2024,Net Banking,Water bill,2
2024-06-28,Shopping,1775.68,6,2024,Credit Card,Clothing,3
2024-06-29,Education,9661.64,6,2024,Debit Card,Stationery,4
2024-06-30,Other,1274.5,6,2024,Debit Card,Personal care,1
2024-06-30,Other,1939.01,6,2024,Debit Card,Repair,3
2024-06-30,Other,1696.35,6,2024,Cash,Repair,3
2024-07-01,Medical,3502.13,7,2024,Debit Card,Lab test,2
2024-07-01,Entertainment,1718.44,7,2024,Net Banking,Sports event,1
2024-07-02,Food,285.97,7,2024,UPI,Restaurant dinner,4
2024-07-03,Food,243.47,7,2024,Debit Card,Fast food,5
2024-07-05,Education,1464.52,7,2024,Wallet,Exam fee,5
2024-07-06,Other,1836.21,7,2024,UPI,Repair,4
2024-07-07,Food,1660.4,7,2024,Cash,Fast food,4
2024-07-10,Shopping,3116.7,7,2024,UPI,Clothing,5
2024-07-10,Shopping,4096.78,7,2024,UPI,Footwear,3
2024-07-10,Other,1483.4,7,2024,UPI,Miscellaneous,1
2024-07-10,Food,1524.95,7,2024,Debit Card,Grocery shopping,2
2024-07-11,Travel,1442.62,7,2024,Wallet,Bus ticket,4
2024-07-14,Travel,2590.55,7,2024,Net Banking,Cab ride,1
2024-07-14,Food,818.55,7,2024,UPI,Restaurant dinner,1
2024-07-16,Travel,2236.36,7,2024,UPI,Parking fee,1
2024-07-17,Travel,1101.82,7,2024,Cash,Fuel,1
2024-07-19,Shopping,2205.24,7,2024,Wallet,Clothing,4
2024-07-19,Education,5556.28,7,2024,UPI,Course fee,4
2024-07-20,Bills,4631.31,7,2024,Debit Card,Internet bill,3
2024-07-20,Entertainment,2896.44,7,2024,UPI,Concert,3
2024-07-20,Travel,2662.42,7,2024,Debit Card,Cab ride,2
2024-07-21,Shopping,6557.38,7,2024,Debit Card,Clothing,5
2024-07-21,Education,4974.47,7,2024,UPI,Stationery,1
2024-07-22,Travel,2475.81,7,2024,UPI,Auto rickshaw,3
2024-07-22,Medical,3284.34,7,2024,UPI,Health checkup,5
2024-07-23,Bills,4592.22,7,2024,Debit Card,Rent,5
2024-07-24,Education,4110.12,7,2024,UPI,Stationery,5
2024-07-24,Entertainment,823.52,7,2024,Cash,Gaming,2
2024-07-24,Medical,3710.94,7,2024,Wallet,Pharmacy,4
2024-07-26,Medical,834.28,7,2024,Net Banking,Lab test,5
2024-07-27,Education,516.6,7,2024,UPI,Online course,3
2024-07-30,Medical,1806.67,7,2024,UPI,Pharmacy,4
2024-07-30,Entertainment,2435.78,7,2024,UPI,Sports event,2
2024-07-31,Bills,2484.85,7,2024,UPI,Electricity bill,1
2024-07-31,Bills,6597.9,7,2024,UPI,Internet bill,5
2024-08-04,Other,1926.05,8,2024,Debit Card,Miscellaneous,1
2024-08-04,Other,843.98,8,2024,Debit Card,Personal care,4
2024-08-05,Bills,3467.24,8,2024,Credit Card,Rent,3
2024-08-05,Other,1125.61,8,2024,Net Banking,Pet supplies,5
2024-08-08,Shopping,13343.75,8,2024,UPI,Footwear,5
2024-08-08,Entertainment,1050.6,8,2024,Debit Card,Movie ticket,1
2024-08-08,Shopping,11765.02,8,2024,UPI,Gift purchase,4
2024-08-10,Shopping,13068.21,8,2024,UPI,Accessories,5
2024-08-10,Food,1579.21,8,2024,Debit Card,Coffee shop,5
2024-08-11,Other,1658.45,8,2024,UPI,Personal care,4
2024-08-12,Bills,6821.39,8,2024,UPI,Electricity bill,5
2024-08-12,Bills,5156.68,8,2024,Debit Card,Rent,3
2024-08-12,Other,982.45,8,2024,Debit Card,Personal care,2
2024-08-13,Shopping,4239.44,8,2024,Cash,Footwear,5
2024-08-14,Shopping,5988.79,8,2024,Credit Card,Gift purchase,5
2024-08-14,Bills,5582.71,8,2024,Debit Card,Mobile recharge,2
2024-08-14,Education,6480.22,8,2024,Net Banking,Stationery,2
2024-08-15,Food,2068.0,8,2024,Debit Card,Coffee shop,1
2024-08-16,Food,523.17,8,2024,UPI,Coffee shop,2
2024-08-17,Bills,6359.25,8,2024,Cash,Rent,3
2024-08-17,Food,542.4,8,2024,UPI,Restaurant dinner,5
2024-08-17,Travel,1266.28,8,2024,UPI,Parking fee,4
2024-08-17,Education,5700.45,8,2024,Credit Card,Course fee,5
2024-08-18,Other,1830.21,8,2024,Wallet,Personal care,1
2024-08-18,Medical,924.22,8,2024,Credit Card,Medicines,3
2024-08-18,Food,230.59,8,2024,UPI,Grocery shopping,4
2024-08-19,Entertainment,1203.1,8,2024,UPI,Gaming,5
2024-08-19,Entertainment,2550.95,8,2024,Debit Card,Sports event,3
2024-08-19,Bills,1958.94,8,2024,Credit Card,Water bill,3
2024-08-20,Education,4452.92,8,2024,Debit Card,Books,3
2024-08-21,Education,5918.53,8,2024,Credit Card,Course fee,3
2024-08-21,Travel,1969.45,8,2024,UPI,Parking fee,3
2024-08-23,Bills,553.93,8,2024,Debit Card,Rent,5
2024-08-23,Shopping,2156.76,8,2024,UPI,Clothing,1
2024-08-23,Shopping,10549.81,8,2024,UPI,Electronics,1
2024-08-23,Entertainment,1296.04,8,2024,Credit Card,Concert,2
2024-08-27,Other,1586.26,8,2024,Debit Card,Pet supplies,1
2024-08-28,Shopping,14135.62,8,2024,UPI,Online order,1
2024-08-28,Education,8752.88,8,2024,UPI,Course fee,2
2024-08-29,Entertainment,388.13,8,2024,Credit Card,Concert,4
2024-08-29,Food,677.12,8,2024,Debit Card,Restaurant dinner,2
2024-08-29,Food,339.65,8,2024,UPI,Coffee shop,3
2024-08-30,Shopping,5512.6,8,2024,Wallet,Accessories,1
2024-08-30,Travel,2876.82,8,2024,UPI,Fuel,3
2024-08-31,Travel,171.82,8,2024,Debit Card,Train ticket,3
2024-08-31,Shopping,14425.54,8,2024,Debit Card,Electronics,5
2024-09-02,Food,2201.12,9,2024,Cash,Grocery shopping,3
2024-09-02,Education,3245.35,9,2024,Credit Card,Books,5
2024-09-02,Food,1691.09,9,2024,UPI,Home delivery,5
2024-09-03,Bills,5344.27,9,2024,UPI,Water bill,4
2024-09-03,Shopping,8990.16,9,2024,Net Banking,Online order,1
2024-09-03,Entertainment,2435.75,9,2024,UPI,Sports event,5
2024-09-05,Travel,1010.88,9,2024,Wallet,Cab ride,4
2024-09-05,Bills,5778.26,9,2024,Wallet,Water bill,4
2024-09-05,Medical,930.96,9,2024,UPI,Medicines,1
2024-09-05,Travel,862.49,9,2024,UPI,Train ticket,4
2024-09-06,Shopping,6126.66,9,2024,UPI,Clothing,1
2024-09-06,Other,1380.98,9,2024,UPI,Repair,5
2024-09-07,Education,4142.2,9,2024,Credit Card,Course fee,1
2024-09-10,Food,99.93,9,2024,UPI,Restaurant dinner,1
2024-09-10,Bills,4968.61,9,2024,Credit Card,Electricity bill,2
2024-09-10,Shopping,2495.8,9,2024,Wallet,Electronics,2
2024-09-10,Travel,2997.96,9,2024,UPI,Train ticket,1
2024-09-10,Bills,2498.95,9,2024,Cash,Rent,1
2024-09-11,Travel,2368.5,9,2024,UPI,Cab ride,4
2024-09-11,Medical,3040.04,9,2024,UPI,Health checkup,1
2024-09-11,Food,2198.61,9,2024,UPI,Coffee shop,1
2024-09-12,Other,286.65,9,2024,Net Banking,Donation,1
2024-09-13,Shopping,4671.4,9,2024,Net Banking,Footwear,4
2024-09-13,Food,1678.05,9,2024,UPI,Snacks,3
2024-09-13,Bills,7745.42,9,2024,Credit Card,Gas bill,5
2024-09-14,Other,1416.36,9,2024,UPI,Miscellaneous,2
2024-09-15,Entertainment,1463.89,9,2024,Cash,Sports event,4
2024-09-15,Shopping,2466.28,9,2024,Debit Card,Gift purchase,5
2024-09-16,Education,3699.52,9,2024,UPI,Books,3
2024-09-17,Entertainment,2262.83,9,2024,Cash,Sports event,4
2024-09-18,Bills,7241.81,9,2024,Wallet,Water bill,4
2024-09-18,Entertainment,2693.38,9,2024,UPI,Movie ticket,2
2024-09-18,Entertainment,1907.09,9,2024,Wallet,Sports event,4
2024-09-20,Travel,1252.93,9,2024,Net Banking,Fuel,3
2024-09-21,Travel,2644.55,9,2024,Net Banking,Parking fee,3
2024-09-21,Travel,2189.5,9,2024,Cash,Cab ride,2
2024-09-21,Other,1057.45,9,2024,Credit Card,Personal care,2
2024-09-22,Other,196.23,9,2024,UPI,Miscellaneous,1
2024-09-24,Food,1804.67,9,2024,UPI,Restaurant dinner,3
2024-09-24,Shopping,13265.62,9,2024,Cash,Footwear,3
2024-09-24,Other,194.69,9,2024,Net Banking,Donation,3
2024-09-25,Entertainment,2141.71,9,2024,Wallet,Streaming subscription,1
2024-09-26,Food,277.87,9,2024,Debit Card,Snacks,1
2024-09-27,Food,1729.7,9,2024,Credit Card,Fast food,5
2024-09-28,Bills,6252.19,9,2024,Debit Card,Water bill,5
2024-09-28,Bills,2730.5,9,2024,Cash,Electricity bill,5
2024-09-30,Entertainment,2208.54,9,2024,UPI,Movie ticket,5
2024-10-01,Food,1793.61,10,2024,UPI,Snacks,1
2024-10-02,Education,1356.96,10,2024,UPI,Books,2
2024-10-02,Entertainment,158.68,10,2024,UPI,Concert,4
2024-10-02,Food,1878.08,10,2024,Credit Card,Restaurant dinner,5
2024-10-03,Entertainment,1710.49,10,2024,UPI,Gaming,1
2024-10-04,Other,1407.53,10,2024,UPI,Donation,5
2024-10-04,Entertainment,2364.82,10,2024,Debit Card,Concert,4
2024-10-05,Travel,2682.29,10,2024,UPI,Cab ride,2
2024-10-05,Medical,1388.45,10,2024,Debit Card,Health checkup,4
2024-10-05,Entertainment,2100.72,10,2024,Debit Card,Gaming,4
2024-10-06,Education,3228.05,10,2024,UPI,Stationery,2
2024-10-06,Food,951.65,10,2024,Debit Card,Fast food,3
2024-10-07,Travel,1733.23,10,2024,UPI,Auto rickshaw,3
2024-10-08,Medical,1504.77,10,2024,Net Banking,Health checkup,5
2024-10-08,Shopping,5771.84,10,2024,Credit Card,Accessories,3
2024-10-10,Food,867.21,10,2024,Debit Card,Restaurant dinner,4
2024-10-11,Entertainment,118.85,10,2024,Debit Card,Streaming subscription,4
